id,name,cleaned
3619f2995e61a80800ce69ec9913ad6ed934374527b0c44b9d40a931f542218d,alienware alien rose xl (800 × 300 × 3 mm),alienware alien rose xl
9226b850dbd4e4216a41bfa8b0f004e7c3aed4884719454648e93b1023105fec,alienware alien vert xl (800 × 300 × 3 mm),alienware alien xl
7fcfa2e56541172506548e47ca14674604396fb45b05b741b48367d6a9dd09d5,alienware bleu rose xl (800 × 300 × 3 mm),alienware rose xl
b9b4eb230dce53d73012e23a8171f8f9163a2abcb3b9085534f36827f04ad225,alienware tactx  xl (800 × 300 × 3 mm),alienware tactx xl
f7292cdd7b2e652d7e81d13042cf3204c4164026d9c7ab153303da8826894650,alpine 17,alpine 17
3d8f537d3df3dc686ea9e795ef72a3e9404b2d7424d5cd3501dc24670b64ddd2,"amd ryzen 3 3100 (3,6 ghz / 3,9 ghz) tray",amd ryzen 3 3100
c21196bd28d13a8a285818112154250aa3eea8afc9c523c605e22a037e63db11,amd ryzen 3 3100 (3.6 ghz / 3.9 ghz) tray,amd ryzen 3 3100
67bc43c2884cd0ed089e10b690c756fe202cb1ca9af43821aaa0b2cd4652da90,amd ryzen 3 3200g (3.6 ghz / 4 ghz) box,amd ryzen 3 3200g
ee8a872026c6e2d8e4ddd786957968217fe3d181095d04c028e3776c22fbb65d,amd ryzen 5 3500x (3.6 ghz / 4.1 ghz) tray,amd ryzen 5 3500x
d449f112b241c40f23acfa99f6951debc6845833bba55fa7ae6c1b4d8d2ed125,amd ryzen 5 3500x (3.6 ghz / 4.1 ghz) tray,amd ryzen 5 3500x
843adc82de01a7b4bacb4cca0c87f1818a93741e20dbfa04448d87bbc785f55f,amd ryzen 5 3500x (3.6 ghz / 4.1 ghz) tray  marrakech,amd ryzen 5 3500x marrakech
9dd1f75bb4230e7926f8afee82ac0d07003fd119e158694facd1f878bf285205,amd ryzen 5 3600 (3.6 ghz / 4.2 ghz) tray,amd ryzen 5 3600
8d64674eef07c6c8401723547ce13cb85e3e54495c9239dbcfa38f9de331eeb6,amd ryzen 5 3600 (3.6 ghz / 4.2 ghz) tray,amd ryzen 5 3600
16771818a036c944ac80673aa7fc924920906515a457166c1dc6e79b70c75c22,amd ryzen 5 3600 (3.6 ghz / 4.2 ghz) tray,amd ryzen 5 3600
faf2c81d79e61e88eb48e2ff02a2e8c6f2ed659dfc18390dc2c532b7fcf487c0,amd ryzen 5 4500 wraith stealth (3.6 ghz / 4.1 ghz),amd ryzen 5 4500 wraith stealth
066a05f2378a4e2c49e034522708075e17446424e96baf947d1585645df76c14,amd ryzen 5 4500 wraith stealth (3.6 ghz / 4.1 ghz),amd ryzen 5 4500 wraith stealth
b876e2bc064ca90ead3cbb94f5b1555fd2b019277fe1d33729dff6de0cf4d700,amd ryzen 5 4500 wraith stealth (3.6 ghz / 4.1 ghz) box,amd ryzen 5 4500 wraith stealth
d942b690f555fe3f836e8bcbb1b5da4d3648db6a0e268fc5508966ec9ab88086,amd ryzen 5 4600g (3.7 ghz / 4.2 ghz) tray,amd ryzen 5 4600g
5c290a1fd7265e8f0abca3b7174de091ea522643cb70520fa82d8bed83224309,amd ryzen 5 5500 (3.6 ghz / 4.2 ghz) tray,amd ryzen 5 5500
c27d7f49bd97b7934e5841538ed053c6a9eea2677d22d28759d37a8668b756ac,amd ryzen 5 5500 (3.6 ghz / 4.2 ghz) tray,amd ryzen 5 5500
ae4c55dd1dde11df0161e14fabc482b9a76eb467cfeca591a3a9e76a0ce00212,amd ryzen 5 5500 (3.6 ghz / 4.2 ghz) tray,amd ryzen 5 5500
